Monomer: J_rc, Start: 0, End: 214, Identity Score: 86, Match Percentage: 69.37%, Matches: 154, Total Length: 222
Monomer: H_rc, Start: 12711, End: 12880, Identity Score: 161, Match Percentage: 96.53%, Matches: 167, Total Length: 173
Monomer: G_rc, Start: 12881, End: 13048, Identity Score: 159, Match Percentage: 96.49%, Matches: 165, Total Length: 171
Monomer: F_rc, Start: 13049, End: 13220, Identity Score: 160, Match Percentage: 96.51%, Matches: 166, Total Length: 172
Monomer: E_rc, Start: 13221, End: 13391, Identity Score: 161, Match Percentage: 97.08%, Matches: 166, Total Length: 171
Monomer: D_rc, Start: 13392, End: 13560, Identity Score: 155, Match Percentage: 94.80%, Matches: 164, Total Length: 173
Monomer: C_rc, Start: 13561, End: 13731, Identity Score: 171, Match Percentage: 100.00%, Matches: 171, Total Length: 171
Monomer: B_rc, Start: 13732, End: 13913, Identity Score: 159, Match Percentage: 91.62%, Matches: 175, Total Length: 191
Monomer: A_rc, Start: 13914, End: 14084, Identity Score: 156, Match Percentage: 95.35%, Matches: 164, Total Length: 172
Monomer: L_rc, Start: 14085, End: 14243, Identity Score: 141, Match Percentage: 91.23%, Matches: 156, Total Length: 171
Monomer: K_rc, Start: 14244, End: 14409, Identity Score: 155, Match Percentage: 95.32%, Matches: 163, Total Length: 171
Monomer: J_rc, Start: 14410, End: 14577, Identity Score: 162, Match Percentage: 97.65%, Matches: 166, Total Length: 170
Monomer: I_rc, Start: 14578, End: 14749, Identity Score: 162, Match Percentage: 97.09%, Matches: 167, Total Length: 172
Monomer: H_rc, Start: 14750, End: 14920, Identity Score: 155, Match Percentage: 94.29%, Matches: 165, Total Length: 175
Monomer: G_rc, Start: 14921, End: 15091, Identity Score: 154, Match Percentage: 94.25%, Matches: 164, Total Length: 174
Monomer: F_rc, Start: 15092, End: 15259, Identity Score: 154, Match Percentage: 94.77%, Matches: 163, Total Length: 172
Monomer: E_rc, Start: 15260, End: 15431, Identity Score: 149, Match Percentage: 93.06%, Matches: 161, Total Length: 173
Monomer: D_rc, Start: 15432, End: 15598, Identity Score: 145, Match Percentage: 91.91%, Matches: 159, Total Length: 173
Monomer: C_rc, Start: 15599, End: 15769, Identity Score: 157, Match Percentage: 94.86%, Matches: 166, Total Length: 175
Monomer: B_rc, Start: 15770, End: 15954, Identity Score: 166, Match Percentage: 93.68%, Matches: 178, Total Length: 190
Monomer: A_rc, Start: 15955, End: 16131, Identity Score: 153, Match Percentage: 93.22%, Matches: 165, Total Length: 177
Monomer: L_rc, Start: 16132, End: 16298, Identity Score: 133, Match Percentage: 87.57%, Matches: 155, Total Length: 177
Monomer: K_rc, Start: 16299, End: 16468, Identity Score: 141, Match Percentage: 89.83%, Matches: 159, Total Length: 177
Monomer: J_rc, Start: 16469, End: 16637, Identity Score: 158, Match Percentage: 95.93%, Matches: 165, Total Length: 172
Monomer: I_rc, Start: 16638, End: 16809, Identity Score: 154, Match Percentage: 93.75%, Matches: 165, Total Length: 176
Monomer: H_rc, Start: 16810, End: 16980, Identity Score: 163, Match Percentage: 97.11%, Matches: 168, Total Length: 173
Monomer: G_rc, Start: 16981, End: 17144, Identity Score: 158, Match Percentage: 96.47%, Matches: 164, Total Length: 170
Monomer: F_rc, Start: 17145, End: 17317, Identity Score: 154, Match Percentage: 94.25%, Matches: 164, Total Length: 174
Monomer: E_rc, Start: 17318, End: 17491, Identity Score: 147, Match Percentage: 91.53%, Matches: 162, Total Length: 177
Monomer: D_rc, Start: 17492, End: 17658, Identity Score: 159, Match Percentage: 96.49%, Matches: 165, Total Length: 171
Monomer: C_rc, Start: 17659, End: 17830, Identity Score: 158, Match Percentage: 95.40%, Matches: 166, Total Length: 174
Monomer: B_rc, Start: 17831, End: 18012, Identity Score: 163, Match Percentage: 93.58%, Matches: 175, Total Length: 187
Monomer: A_rc, Start: 18013, End: 18181, Identity Score: 162, Match Percentage: 97.09%, Matches: 167, Total Length: 172
Monomer: L_rc, Start: 18182, End: 18345, Identity Score: 142, Match Percentage: 91.33%, Matches: 158, Total Length: 173
Monomer: K_rc, Start: 18346, End: 18517, Identity Score: 152, Match Percentage: 93.18%, Matches: 164, Total Length: 176
Monomer: J_rc, Start: 18518, End: 18686, Identity Score: 167, Match Percentage: 99.41%, Matches: 168, Total Length: 169
Monomer: I_rc, Start: 18687, End: 18858, Identity Score: 155, Match Percentage: 94.29%, Matches: 165, Total Length: 175
Monomer: H_rc, Start: 18859, End: 19032, Identity Score: 166, Match Percentage: 97.70%, Matches: 170, Total Length: 174
Monomer: G_rc, Start: 19033, End: 19195, Identity Score: 152, Match Percentage: 94.71%, Matches: 161, Total Length: 170
Monomer: F_rc, Start: 19196, End: 19360, Identity Score: 148, Match Percentage: 93.02%, Matches: 160, Total Length: 172
Monomer: E_rc, Start: 19361, End: 19529, Identity Score: 159, Match Percentage: 96.49%, Matches: 165, Total Length: 171
Monomer: D_rc, Start: 19530, End: 19696, Identity Score: 157, Match Percentage: 95.91%, Matches: 164, Total Length: 171
Monomer: C_rc, Start: 19697, End: 19870, Identity Score: 161, Match Percentage: 96.00%, Matches: 168, Total Length: 175
Monomer: B_rc, Start: 19871, End: 20053, Identity Score: 165, Match Percentage: 93.65%, Matches: 177, Total Length: 189
Monomer: A_rc, Start: 20054, End: 20221, Identity Score: 145, Match Percentage: 92.44%, Matches: 159, Total Length: 172
Monomer: L_rc, Start: 20222, End: 20381, Identity Score: 137, Match Percentage: 90.06%, Matches: 154, Total Length: 171
Monomer: K_rc, Start: 20382, End: 20546, Identity Score: 143, Match Percentage: 91.33%, Matches: 158, Total Length: 173
Monomer: J_rc, Start: 20547, End: 20711, Identity Score: 141, Match Percentage: 90.75%, Matches: 157, Total Length: 173
Monomer: I_rc, Start: 20712, End: 20880, Identity Score: 153, Match Percentage: 94.22%, Matches: 163, Total Length: 173
Monomer: H_rc, Start: 20881, End: 21051, Identity Score: 167, Match Percentage: 98.83%, Matches: 169, Total Length: 171
Monomer: G_rc, Start: 21052, End: 21218, Identity Score: 146, Match Percentage: 91.95%, Matches: 160, Total Length: 174
Monomer: F_rc, Start: 21219, End: 21385, Identity Score: 140, Match Percentage: 89.77%, Matches: 158, Total Length: 176
Monomer: E_rc, Start: 21386, End: 21548, Identity Score: 129, Match Percentage: 87.28%, Matches: 151, Total Length: 173
Monomer: D_rc, Start: 21549, End: 21714, Identity Score: 108, Match Percentage: 80.00%, Matches: 144, Total Length: 180
Monomer: C_rc, Start: 21715, End: 21879, Identity Score: 117, Match Percentage: 83.05%, Matches: 147, Total Length: 177
Monomer: B_rc, Start: 21880, End: 22066, Identity Score: 143, Match Percentage: 86.29%, Matches: 170, Total Length: 197
Monomer: A_rc, Start: 22067, End: 22223, Identity Score: 121, Match Percentage: 85.38%, Matches: 146, Total Length: 171
Monomer: L_rc, Start: 22224, End: 22382, Identity Score: 133, Match Percentage: 89.35%, Matches: 151, Total Length: 169
Monomer: K_rc, Start: 22383, End: 22559, Identity Score: 139, Match Percentage: 88.40%, Matches: 160, Total Length: 181
Monomer: J_rc, Start: 22560, End: 22718, Identity Score: 144, Match Percentage: 92.35%, Matches: 157, Total Length: 170
Monomer: I_rc, Start: 22719, End: 22883, Identity Score: 152, Match Percentage: 94.19%, Matches: 162, Total Length: 172
Monomer: H_rc, Start: 22884, End: 23056, Identity Score: 122, Match Percentage: 83.89%, Matches: 151, Total Length: 180
Monomer: G_rc, Start: 23057, End: 23219, Identity Score: 147, Match Percentage: 92.98%, Matches: 159, Total Length: 171
Monomer: F_rc, Start: 23220, End: 23389, Identity Score: 149, Match Percentage: 92.57%, Matches: 162, Total Length: 175
Monomer: E_rc, Start: 23390, End: 23549, Identity Score: 131, Match Percentage: 88.30%, Matches: 151, Total Length: 171
Monomer: D_rc, Start: 23550, End: 23717, Identity Score: 154, Match Percentage: 94.77%, Matches: 163, Total Length: 172
Monomer: C_rc, Start: 23718, End: 23886, Identity Score: 148, Match Percentage: 92.53%, Matches: 161, Total Length: 174
Monomer: B_rc, Start: 23887, End: 24070, Identity Score: 161, Match Percentage: 92.59%, Matches: 175, Total Length: 189
Monomer: A_rc, Start: 24071, End: 24239, Identity Score: 155, Match Percentage: 94.80%, Matches: 164, Total Length: 173
Monomer: L_rc, Start: 24240, End: 24397, Identity Score: 130, Match Percentage: 87.79%, Matches: 151, Total Length: 172
Monomer: K_rc, Start: 24398, End: 24568, Identity Score: 152, Match Percentage: 93.18%, Matches: 164, Total Length: 176
Monomer: J_rc, Start: 24569, End: 24737, Identity Score: 159, Match Percentage: 96.49%, Matches: 165, Total Length: 171
Monomer: I_rc, Start: 24738, End: 24910, Identity Score: 134, Match Percentage: 87.64%, Matches: 156, Total Length: 178
Monomer: H_rc, Start: 24911, End: 25084, Identity Score: 150, Match Percentage: 92.13%, Matches: 164, Total Length: 178
Monomer: G_rc, Start: 25085, End: 25249, Identity Score: 148, Match Percentage: 93.02%, Matches: 160, Total Length: 172
Monomer: F_rc, Start: 25250, End: 25416, Identity Score: 148, Match Percentage: 92.53%, Matches: 161, Total Length: 174
Monomer: E_rc, Start: 25417, End: 25582, Identity Score: 147, Match Percentage: 92.98%, Matches: 159, Total Length: 171
Monomer: D_rc, Start: 25583, End: 25741, Identity Score: 117, Match Percentage: 83.05%, Matches: 147, Total Length: 177
Monomer: C_rc, Start: 25742, End: 25917, Identity Score: 146, Match Percentage: 90.56%, Matches: 163, Total Length: 180
Monomer: B_rc, Start: 25918, End: 26110, Identity Score: 167, Match Percentage: 93.26%, Matches: 180, Total Length: 193
Monomer: A_rc, Start: 26111, End: 26279, Identity Score: 154, Match Percentage: 94.77%, Matches: 163, Total Length: 172
Monomer: L_rc, Start: 26280, End: 26448, Identity Score: 167, Match Percentage: 99.41%, Matches: 168, Total Length: 169
Monomer: K_rc, Start: 26449, End: 26616, Identity Score: 145, Match Percentage: 91.91%, Matches: 159, Total Length: 173
Monomer: J_rc, Start: 26617, End: 26781, Identity Score: 156, Match Percentage: 95.88%, Matches: 163, Total Length: 170
Monomer: I_rc, Start: 26782, End: 26953, Identity Score: 140, Match Percentage: 89.33%, Matches: 159, Total Length: 178
Monomer: H_rc, Start: 26954, End: 27125, Identity Score: 164, Match Percentage: 97.13%, Matches: 169, Total Length: 174
Monomer: G_rc, Start: 27126, End: 27295, Identity Score: 156, Match Percentage: 94.83%, Matches: 165, Total Length: 174
Monomer: F_rc, Start: 27296, End: 27470, Identity Score: 139, Match Percentage: 88.83%, Matches: 159, Total Length: 179
Monomer: E_rc, Start: 27471, End: 27636, Identity Score: 152, Match Percentage: 94.71%, Matches: 161, Total Length: 170
Monomer: D_rc, Start: 27637, End: 27800, Identity Score: 134, Match Percentage: 88.51%, Matches: 154, Total Length: 174
Monomer: C_rc, Start: 27801, End: 27972, Identity Score: 167, Match Percentage: 98.27%, Matches: 170, Total Length: 173
Monomer: B_rc, Start: 27973, End: 28154, Identity Score: 167, Match Percentage: 94.18%, Matches: 178, Total Length: 189
Monomer: A_rc, Start: 28155, End: 28327, Identity Score: 160, Match Percentage: 95.98%, Matches: 167, Total Length: 174
Monomer: L_rc, Start: 28328, End: 28493, Identity Score: 148, Match Percentage: 93.02%, Matches: 160, Total Length: 172
Monomer: K_rc, Start: 28494, End: 28667, Identity Score: 160, Match Percentage: 95.98%, Matches: 167, Total Length: 174
Monomer: J_rc, Start: 28668, End: 28836, Identity Score: 141, Match Percentage: 89.83%, Matches: 159, Total Length: 177
Monomer: I_rc, Start: 28837, End: 29007, Identity Score: 167, Match Percentage: 98.83%, Matches: 169, Total Length: 171
Monomer: H_rc, Start: 29008, End: 29173, Identity Score: 156, Match Percentage: 95.35%, Matches: 164, Total Length: 172
Monomer: G_rc, Start: 29174, End: 29334, Identity Score: 147, Match Percentage: 92.98%, Matches: 159, Total Length: 171
Monomer: F_rc, Start: 29335, End: 29503, Identity Score: 143, Match Percentage: 90.86%, Matches: 159, Total Length: 175
Monomer: E_rc, Start: 29504, End: 29669, Identity Score: 145, Match Percentage: 91.91%, Matches: 159, Total Length: 173
Monomer: D_rc, Start: 29670, End: 29839, Identity Score: 136, Match Percentage: 89.08%, Matches: 155, Total Length: 174
Monomer: C_rc, Start: 29840, End: 30005, Identity Score: 154, Match Percentage: 94.77%, Matches: 163, Total Length: 172
Monomer: B_rc, Start: 30006, End: 30184, Identity Score: 149, Match Percentage: 89.01%, Matches: 170, Total Length: 191
Monomer: A_rc, Start: 30185, End: 30353, Identity Score: 148, Match Percentage: 92.53%, Matches: 161, Total Length: 174
Monomer: L_rc, Start: 30354, End: 30522, Identity Score: 150, Match Percentage: 93.60%, Matches: 161, Total Length: 172
Monomer: K_rc, Start: 30523, End: 30680, Identity Score: 118, Match Percentage: 83.91%, Matches: 146, Total Length: 174
Monomer: J_rc, Start: 30681, End: 30843, Identity Score: 138, Match Percentage: 90.12%, Matches: 155, Total Length: 172
Monomer: I_rc, Start: 30844, End: 31013, Identity Score: 158, Match Percentage: 96.47%, Matches: 164, Total Length: 170
Monomer: H_rc, Start: 31014, End: 31182, Identity Score: 162, Match Percentage: 97.09%, Matches: 167, Total Length: 172
Monomer: G_rc, Start: 31183, End: 31351, Identity Score: 158, Match Percentage: 95.93%, Matches: 165, Total Length: 172
Monomer: F_rc, Start: 31352, End: 31521, Identity Score: 146, Match Percentage: 91.48%, Matches: 161, Total Length: 176
Monomer: E_rc, Start: 31522, End: 31690, Identity Score: 155, Match Percentage: 95.86%, Matches: 162, Total Length: 169
Monomer: D_rc, Start: 31691, End: 31859, Identity Score: 138, Match Percentage: 89.20%, Matches: 157, Total Length: 176
Monomer: C_rc, Start: 31860, End: 32037, Identity Score: 160, Match Percentage: 94.94%, Matches: 169, Total Length: 178
Monomer: B_rc, Start: 32038, End: 32221, Identity Score: 165, Match Percentage: 94.12%, Matches: 176, Total Length: 187
Monomer: A_rc, Start: 32222, End: 32379, Identity Score: 141, Match Percentage: 91.23%, Matches: 156, Total Length: 171
Monomer: L_rc, Start: 32380, End: 32546, Identity Score: 155, Match Percentage: 95.32%, Matches: 163, Total Length: 171
Monomer: K_rc, Start: 32547, End: 32713, Identity Score: 151, Match Percentage: 93.64%, Matches: 162, Total Length: 173
Monomer: J_rc, Start: 32714, End: 32880, Identity Score: 158, Match Percentage: 96.47%, Matches: 164, Total Length: 170
Monomer: I_rc, Start: 32881, End: 33048, Identity Score: 163, Match Percentage: 97.66%, Matches: 167, Total Length: 171
Monomer: H_rc, Start: 33049, End: 33221, Identity Score: 153, Match Percentage: 93.22%, Matches: 165, Total Length: 177
Monomer: G_rc, Start: 33222, End: 33394, Identity Score: 164, Match Percentage: 97.13%, Matches: 169, Total Length: 174
Monomer: F_rc, Start: 33395, End: 33562, Identity Score: 153, Match Percentage: 94.22%, Matches: 163, Total Length: 173
Monomer: E_rc, Start: 33563, End: 33725, Identity Score: 146, Match Percentage: 92.94%, Matches: 158, Total Length: 170
Monomer: D_rc, Start: 33726, End: 33892, Identity Score: 139, Match Percentage: 89.71%, Matches: 157, Total Length: 175
Monomer: C_rc, Start: 33893, End: 34060, Identity Score: 150, Match Percentage: 93.10%, Matches: 162, Total Length: 174
Monomer: B_rc, Start: 34061, End: 34239, Identity Score: 156, Match Percentage: 91.49%, Matches: 172, Total Length: 188
Monomer: A_rc, Start: 34240, End: 34417, Identity Score: 155, Match Percentage: 93.30%, Matches: 167, Total Length: 179
Monomer: L_rc, Start: 34418, End: 34589, Identity Score: 150, Match Percentage: 93.10%, Matches: 162, Total Length: 174
Monomer: K_rc, Start: 34590, End: 34760, Identity Score: 155, Match Percentage: 94.80%, Matches: 164, Total Length: 173
Monomer: J_rc, Start: 34761, End: 34927, Identity Score: 152, Match Percentage: 94.71%, Matches: 161, Total Length: 170
Monomer: I_rc, Start: 34928, End: 35103, Identity Score: 149, Match Percentage: 91.62%, Matches: 164, Total Length: 179
Monomer: H_rc, Start: 35104, End: 35273, Identity Score: 166, Match Percentage: 98.26%, Matches: 169, Total Length: 172
Monomer: G_rc, Start: 35274, End: 35442, Identity Score: 152, Match Percentage: 93.68%, Matches: 163, Total Length: 174
Monomer: F_rc, Start: 35443, End: 35611, Identity Score: 154, Match Percentage: 94.25%, Matches: 164, Total Length: 174
Monomer: E_rc, Start: 35612, End: 35778, Identity Score: 155, Match Percentage: 95.86%, Matches: 162, Total Length: 169
Monomer: D_rc, Start: 35779, End: 35949, Identity Score: 155, Match Percentage: 94.80%, Matches: 164, Total Length: 173
Monomer: C_rc, Start: 35950, End: 36126, Identity Score: 159, Match Percentage: 94.92%, Matches: 168, Total Length: 177
Monomer: B_rc, Start: 36127, End: 36310, Identity Score: 164, Match Percentage: 93.16%, Matches: 177, Total Length: 190
Monomer: A_rc, Start: 36311, End: 36482, Identity Score: 155, Match Percentage: 94.29%, Matches: 165, Total Length: 175
Monomer: L_rc, Start: 36483, End: 36649, Identity Score: 165, Match Percentage: 98.82%, Matches: 167, Total Length: 169
Monomer: K_rc, Start: 36650, End: 36822, Identity Score: 155, Match Percentage: 94.80%, Matches: 164, Total Length: 173
Monomer: J_rc, Start: 36823, End: 36991, Identity Score: 150, Match Percentage: 93.60%, Matches: 161, Total Length: 172
Monomer: I_rc, Start: 36992, End: 37166, Identity Score: 158, Match Percentage: 94.89%, Matches: 167, Total Length: 176
Monomer: H_rc, Start: 37167, End: 37291, Identity Score: 67, Match Percentage: 69.36%, Matches: 120, Total Length: 173
Monomer: G_rc, Start: 37292, End: 37458, Identity Score: 154, Match Percentage: 94.77%, Matches: 163, Total Length: 172
Monomer: F_rc, Start: 37459, End: 37619, Identity Score: 105, Match Percentage: 79.66%, Matches: 141, Total Length: 177
Monomer: E_rc, Start: 37620, End: 37784, Identity Score: 132, Match Percentage: 88.37%, Matches: 152, Total Length: 172
Monomer: D_rc, Start: 37785, End: 37952, Identity Score: 148, Match Percentage: 93.02%, Matches: 160, Total Length: 172
Monomer: C_rc, Start: 37953, End: 38124, Identity Score: 164, Match Percentage: 97.67%, Matches: 168, Total Length: 172
Monomer: B_rc, Start: 38125, End: 38313, Identity Score: 176, Match Percentage: 96.32%, Matches: 183, Total Length: 190
Monomer: A_rc, Start: 38314, End: 38484, Identity Score: 161, Match Percentage: 96.53%, Matches: 167, Total Length: 173
Monomer: L_rc, Start: 38485, End: 38652, Identity Score: 144, Match Percentage: 91.38%, Matches: 159, Total Length: 174
Monomer: K_rc, Start: 38653, End: 38823, Identity Score: 159, Match Percentage: 96.49%, Matches: 165, Total Length: 171
Monomer: J_rc, Start: 38824, End: 38985, Identity Score: 154, Match Percentage: 95.83%, Matches: 161, Total Length: 168
Monomer: I_rc, Start: 38986, End: 39157, Identity Score: 153, Match Percentage: 93.71%, Matches: 164, Total Length: 175
Monomer: H_rc, Start: 39158, End: 39330, Identity Score: 151, Match Percentage: 92.66%, Matches: 164, Total Length: 177
Monomer: G_rc, Start: 39331, End: 39504, Identity Score: 158, Match Percentage: 94.89%, Matches: 167, Total Length: 176
