read-name,best-monomer,start-pos,end-pos,identity,second-best-monomer,second-best-monomer-identity,homo-best-monomer,homo-identity,homo-second-best-monomer,homo-second-best-monomer-identity,reliability
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,F_5_DXZ1*_doubled/789_959/R',21219,21385,89.66,K_10_DXZ1*_doubled/1639_1808/R',81.14,F_5_DXZ1*_doubled/789_959/R',94.44,K_10_DXZ1*_doubled/1639_1808/R',83.08,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,E_4_DXZ1*_doubled/621_788/R',21386,21548,87.28,J_9_DXZ1*_doubled/1471_1638/R',81.71,E_4_DXZ1*_doubled/621_788/R',86.51,J_9_DXZ1*_doubled/1471_1638/R',78.57,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,D_3_DXZ1*_doubled/451_620/R',21549,21714,80.0,I_8_DXZ1*_doubled/1301_1470/R',66.67,D_3_DXZ1*_doubled/451_620/R',81.34,I_8_DXZ1*_doubled/1301_1470/R',71.53,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,C_2_DXZ1*_doubled/280_450/R',21715,21879,82.95,H_7_DXZ1*_doubled/1130_1300/R',73.03,C_2_DXZ1*_doubled/280_450/R',82.26,A_0_DXZ1*_doubled/1978_2147/R',73.6,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,B_1_DXZ1*_doubled/94_279/R',21880,22066,86.22,G_6_DXZ1*_doubled/960_1129/R',74.74,B_1_DXZ1*_doubled/94_279/R',87.14,K_10_DXZ1*_doubled/1639_1808/R',71.33,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,A_0_DXZ1*_doubled/1978_2147/R',22067,22223,85.38,H_7_DXZ1*_doubled/1130_1300/R',73.84,A_0_DXZ1*_doubled/1978_2147/R',84.35,J_9_DXZ1*_doubled/1471_1638/R',73.39,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,L_11_DXZ1*_doubled/1809_1977/R',22224,22382,89.35,G_6_DXZ1*_doubled/960_1129/R',77.91,L_11_DXZ1*_doubled/1809_1977/R',90.98,G_6_DXZ1*_doubled/960_1129/R',78.23,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,K_10_DXZ1*_doubled/1639_1808/R',22383,22559,88.4,F_5_DXZ1*_doubled/789_959/R',77.42,K_10_DXZ1*_doubled/1639_1808/R',91.47,F_5_DXZ1*_doubled/789_959/R',79.56,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,H_7_DXZ1*_doubled/1130_1300/R',22884,23056,83.89,C_2_DXZ1*_doubled/280_450/R',74.32,H_7_DXZ1*_doubled/1130_1300/R',86.15,C_2_DXZ1*_doubled/280_450/R',75.19,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,E_4_DXZ1*_doubled/621_788/R',23390,23549,88.3,J_9_DXZ1*_doubled/1471_1638/R',79.65,E_4_DXZ1*_doubled/621_788/R',90.32,J_9_DXZ1*_doubled/1471_1638/R',81.1,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,L_11_DXZ1*_doubled/1809_1977/R',24240,24397,87.79,G_6_DXZ1*_doubled/960_1129/R',77.01,L_11_DXZ1*_doubled/1809_1977/R',85.83,G_6_DXZ1*_doubled/960_1129/R',76.86,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,I_8_DXZ1*_doubled/1301_1470/R',24738,24910,88.07,D_3_DXZ1*_doubled/451_620/R',71.51,I_8_DXZ1*_doubled/1301_1470/R',90.0,G_6_DXZ1*_doubled/960_1129/R',75.0,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,D_3_DXZ1*_doubled/451_620/R',25583,25741,82.95,I_8_DXZ1*_doubled/1301_1470/R',71.02,D_3_DXZ1*_doubled/451_620/R',80.3,I_8_DXZ1*_doubled/1301_1470/R',72.26,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,I_8_DXZ1*_doubled/1301_1470/R',26782,26953,89.71,D_3_DXZ1*_doubled/451_620/R',73.6,I_8_DXZ1*_doubled/1301_1470/R',91.54,D_3_DXZ1*_doubled/451_620/R',75.91,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,F_5_DXZ1*_doubled/789_959/R',27296,27470,88.83,K_10_DXZ1*_doubled/1639_1808/R',78.89,F_5_DXZ1*_doubled/789_959/R',88.64,K_10_DXZ1*_doubled/1639_1808/R',79.56,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,D_3_DXZ1*_doubled/451_620/R',27637,27800,88.51,I_8_DXZ1*_doubled/1301_1470/R',72.88,D_3_DXZ1*_doubled/451_620/R',89.92,I_8_DXZ1*_doubled/1301_1470/R',75.18,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,D_3_DXZ1*_doubled/451_620/R',29670,29839,89.08,I_8_DXZ1*_doubled/1301_1470/R',71.67,D_3_DXZ1*_doubled/451_620/R',87.97,I_8_DXZ1*_doubled/1301_1470/R',72.34,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,B_1_DXZ1*_doubled/94_279/R',30006,30184,89.01,G_6_DXZ1*_doubled/960_1129/R',72.73,B_1_DXZ1*_doubled/94_279/R',85.93,K_10_DXZ1*_doubled/1639_1808/R',74.26,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,K_10_DXZ1*_doubled/1639_1808/R',30523,30680,83.82,F_5_DXZ1*_doubled/789_959/R',76.7,K_10_DXZ1*_doubled/1639_1808/R',88.98,F_5_DXZ1*_doubled/789_959/R',81.68,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,D_3_DXZ1*_doubled/451_620/R',31691,31859,89.2,I_8_DXZ1*_doubled/1301_1470/R',73.33,D_3_DXZ1*_doubled/451_620/R',87.79,A_0_DXZ1*_doubled/1978_2147/R',74.81,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,D_3_DXZ1*_doubled/451_620/R',33726,33892,89.71,I_8_DXZ1*_doubled/1301_1470/R',75.0,D_3_DXZ1*_doubled/451_620/R',90.15,I_8_DXZ1*_doubled/1301_1470/R',75.0,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,H_7_DXZ1*_doubled/1130_1300/R',37167,37291,69.19,A_0_DXZ1*_doubled/1978_2147/R',61.63,H_7_DXZ1*_doubled/1130_1300/R',73.17,C_2_DXZ1*_doubled/280_450/R',67.21,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,F_5_DXZ1*_doubled/789_959/R',37459,37619,79.66,K_10_DXZ1*_doubled/1639_1808/R',74.58,F_5_DXZ1*_doubled/789_959/R',83.08,K_10_DXZ1*_doubled/1639_1808/R',78.79,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,E_4_DXZ1*_doubled/621_788/R',37620,37784,88.37,J_9_DXZ1*_doubled/1471_1638/R',78.86,E_4_DXZ1*_doubled/621_788/R',87.1,J_9_DXZ1*_doubled/1471_1638/R',78.57,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,H_7_DXZ1*_doubled/1130_1300/R',41210,41384,88.95,A_0_DXZ1*_doubled/1978_2147/R',78.45,H_7_DXZ1*_doubled/1130_1300/R',88.64,A_0_DXZ1*_doubled/1978_2147/R',75.76,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,B_1_DXZ1*_doubled/94_279/R',42229,42402,88.42,G_6_DXZ1*_doubled/960_1129/R',71.81,B_1_DXZ1*_doubled/94_279/R',87.31,G_6_DXZ1*_doubled/960_1129/R',74.62,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,A_0_DXZ1*_doubled/1978_2147/R',42403,42569,87.93,H_7_DXZ1*_doubled/1130_1300/R',78.86,A_0_DXZ1*_doubled/1978_2147/R',88.43,H_7_DXZ1*_doubled/1130_1300/R',77.86,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,K_10_DXZ1*_doubled/1639_1808/R',42734,42907,85.71,G_6_DXZ1*_doubled/960_1129/R',74.73,K_10_DXZ1*_doubled/1639_1808/R',87.69,F_5_DXZ1*_doubled/789_959/R',75.74,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,J_9_DXZ1*_doubled/1471_1638/R',42908,43060,82.46,E_4_DXZ1*_doubled/621_788/R',74.71,J_9_DXZ1*_doubled/1471_1638/R',84.43,E_4_DXZ1*_doubled/621_788/R',72.31,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,I_8_DXZ1*_doubled/1301_1470/R',43061,43225,88.51,D_3_DXZ1*_doubled/451_620/R',72.88,I_8_DXZ1*_doubled/1301_1470/R',87.02,E_4_DXZ1*_doubled/621_788/R',76.12,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,H_7_DXZ1*_doubled/1130_1300/R',43226,43390,89.14,A_0_DXZ1*_doubled/1978_2147/R',77.27,H_7_DXZ1*_doubled/1130_1300/R',86.51,A_0_DXZ1*_doubled/1978_2147/R',74.8,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,F_5_DXZ1*_doubled/789_959/R',43555,43719,86.78,K_10_DXZ1*_doubled/1639_1808/R',78.86,F_5_DXZ1*_doubled/789_959/R',89.06,K_10_DXZ1*_doubled/1639_1808/R',79.7,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,E_4_DXZ1*_doubled/621_788/R',43720,43891,89.66,J_9_DXZ1*_doubled/1471_1638/R',80.9,E_4_DXZ1*_doubled/621_788/R',90.24,J_9_DXZ1*_doubled/1471_1638/R',80.47,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,D_3_DXZ1*_doubled/451_620/R',43892,44055,88.51,I_8_DXZ1*_doubled/1301_1470/R',72.07,D_3_DXZ1*_doubled/451_620/R',87.69,I_8_DXZ1*_doubled/1301_1470/R',72.79,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,C_2_DXZ1*_doubled/280_450/R',44056,44226,89.33,H_7_DXZ1*_doubled/1130_1300/R',78.77,C_2_DXZ1*_doubled/280_450/R',87.3,H_7_DXZ1*_doubled/1130_1300/R',75.38,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,B_1_DXZ1*_doubled/94_279/R',44227,44415,86.6,K_10_DXZ1*_doubled/1639_1808/R',70.26,B_1_DXZ1*_doubled/94_279/R',84.4,K_10_DXZ1*_doubled/1639_1808/R',70.14,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,E_4_DXZ1*_doubled/621_788/R',45778,45943,89.66,J_9_DXZ1*_doubled/1471_1638/R',79.78,E_4_DXZ1*_doubled/621_788/R',91.94,J_9_DXZ1*_doubled/1471_1638/R',80.62,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,L_11_DXZ1*_doubled/1809_1977/R',50753,50919,89.71,G_6_DXZ1*_doubled/960_1129/R',77.14,L_11_DXZ1*_doubled/1809_1977/R',91.27,G_6_DXZ1*_doubled/960_1129/R',75.97,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,B_1_DXZ1*_doubled/94_279/R',52444,52618,88.77,G_6_DXZ1*_doubled/960_1129/R',75.14,B_1_DXZ1*_doubled/94_279/R',88.89,G_6_DXZ1*_doubled/960_1129/R',74.07,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,G_6_DXZ1*_doubled/960_1129/R',57774,57936,85.8,K_10_DXZ1*_doubled/1639_1808/R',75.84,G_6_DXZ1*_doubled/960_1129/R',88.43,K_10_DXZ1*_doubled/1639_1808/R',77.17,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,L_11_DXZ1*_doubled/1809_1977/R',58974,59120,81.98,G_6_DXZ1*_doubled/960_1129/R',71.51,L_11_DXZ1*_doubled/1809_1977/R',82.5,G_6_DXZ1*_doubled/960_1129/R',73.77,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,H_7_DXZ1*_doubled/1130_1300/R',59626,59800,89.44,A_0_DXZ1*_doubled/1978_2147/R',79.01,H_7_DXZ1*_doubled/1130_1300/R',91.27,A_0_DXZ1*_doubled/1978_2147/R',79.07,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,A_0_DXZ1*_doubled/1978_2147/R',60833,61009,87.91,H_7_DXZ1*_doubled/1130_1300/R',77.9,A_0_DXZ1*_doubled/1978_2147/R',89.68,H_7_DXZ1*_doubled/1130_1300/R',75.37,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,B_1_DXZ1*_doubled/94_279/R',62702,62885,88.6,G_6_DXZ1*_doubled/960_1129/R',71.13,B_1_DXZ1*_doubled/94_279/R',88.15,G_6_DXZ1*_doubled/960_1129/R',69.12,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,G_6_DXZ1*_doubled/960_1129/R',63906,64071,89.66,K_10_DXZ1*_doubled/1639_1808/R',77.84,G_6_DXZ1*_doubled/960_1129/R',93.39,L_11_DXZ1*_doubled/1809_1977/R',76.56,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,C_2_DXZ1*_doubled/280_450/R',66655,66821,88.64,H_7_DXZ1*_doubled/1130_1300/R',78.09,C_2_DXZ1*_doubled/280_450/R',88.19,G_6_DXZ1*_doubled/960_1129/R',76.56,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,B_1_DXZ1*_doubled/94_279/R',66822,66996,85.79,G_6_DXZ1*_doubled/960_1129/R',72.97,B_1_DXZ1*_doubled/94_279/R',84.17,K_10_DXZ1*_doubled/1639_1808/R',68.79,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,J_9_DXZ1*_doubled/1471_1638/R',67491,67653,83.52,E_4_DXZ1*_doubled/621_788/R',73.33,J_9_DXZ1*_doubled/1471_1638/R',89.6,E_4_DXZ1*_doubled/621_788/R',78.03,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,I_8_DXZ1*_doubled/1301_1470/R',67654,67825,88.2,D_3_DXZ1*_doubled/451_620/R',72.63,I_8_DXZ1*_doubled/1301_1470/R',89.39,D_3_DXZ1*_doubled/451_620/R',75.74,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,E_4_DXZ1*_doubled/621_788/R',68334,68501,86.05,J_9_DXZ1*_doubled/1471_1638/R',78.98,E_4_DXZ1*_doubled/621_788/R',83.72,J_9_DXZ1*_doubled/1471_1638/R',78.03,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,D_3_DXZ1*_doubled/451_620/R',68502,68661,89.6,I_8_DXZ1*_doubled/1301_1470/R',73.56,D_3_DXZ1*_doubled/451_620/R',91.27,A_0_DXZ1*_doubled/1978_2147/R',75.0,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,E_4_DXZ1*_doubled/621_788/R',74447,74606,83.43,J_9_DXZ1*_doubled/1471_1638/R',75.28,E_4_DXZ1*_doubled/621_788/R',82.17,J_9_DXZ1*_doubled/1471_1638/R',74.62,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,I_8_DXZ1*_doubled/1301_1470/R',75810,75978,89.83,D_3_DXZ1*_doubled/451_620/R',72.63,I_8_DXZ1*_doubled/1301_1470/R',88.81,D_3_DXZ1*_doubled/451_620/R',73.91,+
774d5aae-1eda-432b-a14f-3c18dad0b36b|runid=e9a32ee0ac1367543dc685eadc375ac1c17cb2b5|sampleid=CHM13_1|read=3871|ch=392|start_time=2018-05-01T21:31:27Z,F_5_DXZ1*_doubled/789_959/R',76316,76480,89.71,K_10_DXZ1*_doubled/1639_1808/R',80.23,F_5_DXZ1*_doubled/789_959/R',88.37,K_10_DXZ1*_doubled/1639_1808/R',81.06,+
